County,State,2010Census,2017PopEstimate
Laurens County,Georgia,48434,47330
Laurens County,South Carolina,66537,66848
Lavaca County,Texas,19263,20062
Lawrence County,Alabama,34339,33049
Lawrence County,Arkansas,17415,16525
Lawrence County,Illinois,16833,16168
Lawrence County,Indiana,46134,45666
Lawrence County,Kentucky,15860,15719
Lawrence County,Mississippi,12929,12643
Lawrence County,Missouri,38634,38434
Lawrence County,Ohio,62450,60249
Lawrence County,Pennsylvania,91108,87069
Lawrence County,South Dakota,24097,25429
Lawrence County,Tennessee,41869,43396
Le Flore County,Oklahoma,50384,49731
Le Sueur County,Minnesota,27703,28111
Lea County,New Mexico,64727,68759
Leake County,Mississippi,23805,22715
Leavenworth County,Kansas,76227,81095
Lebanon County,Pennsylvania,133568,139754
Lee County,Alabama,140247,161604
Lee County,Arkansas,10424,9176
Lee County,Florida,618754,739224
Lee County,Georgia,28298,29470
Lee County,Illinois,36031,34406
Lee County,Iowa,35862,34295
Lee County,Kentucky,7887,6570
Lee County,Mississippi,82910,84933
Lee County,North Carolina,57866,60430
Lee County,South Carolina,19220,17350
Lee County,Texas,16612,17183
Lee County,Virginia,25587,23758
Leelanau County,Michigan,21708,21657
Leflore County,Mississippi,32317,29223
Lehigh County,Pennsylvania,349497,366494
Lemhi County,Idaho,7936,7875
Lenawee County,Michigan,99892,98623
Lenoir County,North Carolina,59495,56883
Leon County,Florida,275487,290292
Leon County,Texas,16801,17243
Leslie County,Kentucky,11310,10334
Letcher County,Kentucky,24519,22339
Levy County,Florida,40801,40355
Lewis and Clark County,Montana,63395,67773
Lewis County,Idaho,3821,3887
Lewis County,Kentucky,13870,13339
Lewis County,Missouri,10211,9967
Lewis County,New York,27087,26551
Lewis County,Tennessee,12161,12035
Lewis County,Washington,75455,78200
Lewis County,West Virginia,16372,16226
Lexington city,Virginia,7042,7106
Lexington County,South Carolina,262391,290642
Liberty County,Florida,8365,8242
Liberty County,Georgia,63453,61386
Liberty County,Montana,2339,2427
Liberty County,Texas,75643,83658
Licking County,Ohio,166492,173448
Limestone County,Alabama,82782,94402
Limestone County,Texas,23384,23527
Lincoln County,Arkansas,14134,13646
Lincoln County,Colorado,5467,5546
Lincoln County,Georgia,7996,7880
Lincoln County,Idaho,5208,5318
Lincoln County,Kansas,3241,3043
Lincoln County,Kentucky,24742,24456
Lincoln County,Maine,34457,34204
Lincoln County,Minnesota,5896,5678
Lincoln County,Mississippi,34869,34347
Lincoln County,Missouri,52566,56183
Lincoln County,Montana,19687,19440
Lincoln County,Nebraska,36288,35280
Lincoln County,Nevada,5345,5223
Lincoln County,New Mexico,20497,19395
Lincoln County,North Carolina,78265,82403
Lincoln County,Oklahoma,34273,35142
Lincoln County,Oregon,46034,48920
Lincoln County,South Dakota,44828,56664
Lincoln County,Tennessee,33361,33751
Lincoln County,Washington,10570,10579
Lincoln County,West Virginia,21720,20825
Lincoln County,Wisconsin,28743,27838
Lincoln County,Wyoming,18106,19265
Lincoln Parish,Louisiana,46735,47744
Linn County,Iowa,211226,224115
Linn County,Kansas,9656,9726
Linn County,Missouri,12761,12194
Linn County,Oregon,116672,125047
Lipscomb County,Texas,3302,3378
Litchfield County,Connecticut,189927,182177
Little River County,Arkansas,13171,12359
Live Oak County,Texas,11531,12174
Livingston County,Illinois,38950,36518
Livingston County,Kentucky,9519,9269
Livingston County,Michigan,180967,189651
Livingston County,Missouri,15195,15173
Livingston County,New York,65393,63799
Livingston Parish,Louisiana,128026,138228
Llano County,Texas,19301,21210
Logan County,Arkansas,22353,21722
Logan County,Colorado,22709,21896
Logan County,Illinois,30305,29245
Logan County,Kansas,2756,2821
Logan County,Kentucky,26835,27060
Logan County,Nebraska,763,768
Logan County,North Dakota,1990,1918
Logan County,Ohio,45858,45325
Logan County,Oklahoma,41848,46784
Logan County,West Virginia,36743,32925
Long County,Georgia,14464,19014
Lonoke County,Arkansas,68356,72898
Lorain County,Ohio,301356,307924
Los Alamos County,New Mexico,17950,18738
Los Angeles County,California,9818605,10163507
Loudon County,Tennessee,48556,52152
Loudoun County,Virginia,312311,398080
Louisa County,Iowa,11387,11184
Louisa County,Virginia,33153,35860
Loup County,Nebraska,632,609
Love County,Oklahoma,9423,10034
Loving County,Texas,82,134
Lowndes County,Alabama,11299,10076
Lowndes County,Georgia,109233,115489
Lowndes County,Mississippi,59779,59186
Lubbock County,Texas,278831,305225
Lucas County,Iowa,8898,8534
Lucas County,Ohio,441815,430887
Luce County,Michigan,6631,6358
Lumpkin County,Georgia,29966,32873
Luna County,New Mexico,25095,24078
Lunenburg County,Virginia,12914,12235
Luzerne County,Pennsylvania,320918,317343
Lycoming County,Pennsylvania,116111,113841
Lyman County,South Dakota,3755,3904
Lynchburg city,Virginia,75568,80995
Lynn County,Texas,5915,5859
Lyon County,Iowa,11581,11792
Lyon County,Kansas,33690,33392
Lyon County,Kentucky,8314,8082
Lyon County,Minnesota,25857,25831
Lyon County,Nevada,51980,54122
Mackinac County,Michigan,11113,10712
Macomb County,Michigan,840978,871375
Macon County,Alabama,21452,18755
Macon County,Georgia,14740,13314
Macon County,Illinois,110768,105801
Macon County,Missouri,15566,15251
Macon County,North Carolina,33922,34732
Macon County,Tennessee,22248,24079
Macoupin County,Illinois,47765,45446
Madera County,California,150865,156890
Madison County,Alabama,334811,361046
Madison County,Arkansas,15717,16339
Madison County,Florida,19224,18449
Madison County,Georgia,28120,29302
Madison County,Idaho,37536,39141
Madison County,Illinois,269282,265428
Madison County,Indiana,131636,129498
Madison County,Iowa,15679,16013
Madison County,Kentucky,82916,91226
Madison County,Mississippi,95203,104618
Madison County,Missouri,12226,12243
Madison County,Montana,7691,8175
Madison County,Nebraska,34876,35144
Madison County,New York,73442,70965
Madison County,North Carolina,20764,21746
Madison County,Ohio,43435,44036
Madison County,Tennessee,98294,97643
Madison County,Texas,13664,14222
Madison County,Virginia,13308,13277
Madison Parish,Louisiana,12093,11316
Magoffin County,Kentucky,13333,12538
Mahaska County,Iowa,22381,22235
Mahnomen County,Minnesota,5413,5596
Mahoning County,Ohio,238823,229796
Major County,Oklahoma,7527,7693
Malheur County,Oregon,31313,30480
Manassas city,Virginia,37821,41501
Manassas Park city,Virginia,14273,16591
Manatee County,Florida,322833,385571
Manistee County,Michigan,24733,24427
Manitowoc County,Wisconsin,81442,79175
Marathon County,Wisconsin,134063,135732
Marengo County,Alabama,21027,19375
Maricopa County,Arizona,3817117,4307033
Maries County,Missouri,9176,8867
Marin County,California,252409,260955
Marinette County,Wisconsin,41749,40310
Marion County,Alabama,30776,29833
Marion County,Arkansas,16653,16428
Marion County,Florida,331298,354353
Marion County,Georgia,8742,8450
Marion County,Illinois,39437,37902
Marion County,Indiana,903393,950082
Marion County,Iowa,33309,33105
Marion County,Kansas,12660,11986
Marion County,Kentucky,19820,19395
Marion County,Mississippi,27088,25069
Marion County,Missouri,28781,28634
Marion County,Ohio,66501,64967
Marion County,Oregon,315335,341286
Marion County,South Carolina,33062,31293
Marion County,Tennessee,28237,28425
Marion County,Texas,10546,10064
Marion County,West Virginia,56418,56337
Mariposa County,California,18251,17569
Marlboro County,South Carolina,28933,26825
Marquette County,Michigan,67077,66502
Marquette County,Wisconsin,15404,15308
Marshall County,Alabama,93019,95548
Marshall County,Illinois,12640,11730
Marshall County,Indiana,47051,46498
Marshall County,Iowa,40648,40288
Marshall County,Kansas,10117,9745
Marshall County,Kentucky,31448,31382
Marshall County,Minnesota,9439,9356
Marshall County,Mississippi,37144,35619
Marshall County,Oklahoma,15840,16434
Marshall County,South Dakota,4656,4804
Marshall County,Tennessee,30617,32931
Marshall County,West Virginia,33107,31190
Martin County,Florida,146318,159923
Martin County,Indiana,10334,10215
Martin County,Kentucky,12929,11452
Martin County,Minnesota,20840,19850
Martin County,North Carolina,24505,22789
Martin County,Texas,4799,5626
Martinsville city,Virginia,13821,13142
Mason County,Illinois,14666,13715
Mason County,Kentucky,17490,17174
Mason County,Michigan,28705,29073
Mason County,Texas,4012,4222
Mason County,Washington,60699,63710
Mason County,West Virginia,27324,26801
Massac County,Illinois,15429,14344
Matagorda County,Texas,36702,36840
Matanuska-Susitna Borough,Alaska,88995,106532
Mathews County,Virginia,8978,8779
Maui County,Hawaii,154834,166260
Maury County,Tennessee,80956,92163
Maverick County,Texas,54258,58216
Mayes County,Oklahoma,41259,40921
McClain County,Oklahoma,34506,39343
McCone County,Montana,1734,1718
McCook County,South Dakota,5618,5499
McCormick County,South Carolina,10233,9545
McCracken County,Kentucky,65565,65385
McCreary County,Kentucky,18306,17465
McCulloch County,Texas,8283,7957
McCurtain County,Oklahoma,33151,32808
McDonald County,Missouri,23083,22828
McDonough County,Illinois,32612,30823
McDowell County,North Carolina,44996,45159
McDowell County,West Virginia,22113,18456
McDuffie County,Georgia,21875,21498
McHenry County,Illinois,308760,309122
McHenry County,North Dakota,5395,5900
McIntosh County,Georgia,14333,14106
McIntosh County,North Dakota,2809,2606
McIntosh County,Oklahoma,20252,19742
McKean County,Pennsylvania,43450,41330
McKenzie County,North Dakota,6360,12724
McKinley County,New Mexico,71492,72564
McLean County,Illinois,169572,172290
McLean County,Kentucky,9531,9201
McLean County,North Dakota,8962,9685
McLennan County,Texas,234906,251259
McLeod County,Minnesota,36651,35884
McMinn County,Tennessee,52266,52877
McMullen County,Texas,707,778
McNairy County,Tennessee,26075,26004
McPherson County,Kansas,29180,28708
McPherson County,Nebraska,539,499
McPherson County,South Dakota,2459,2426
Meade County,Kansas,4575,4303
Meade County,Kentucky,28602,28154
Meade County,South Dakota,25434,28018
Meagher County,Montana,1891,1851
Mecklenburg County,North Carolina,919628,1076837
Mecklenburg County,Virginia,32727,30686
Mecosta County,Michigan,42798,43391
Medina County,Ohio,172332,178371
Medina County,Texas,46006,50066
Meeker County,Minnesota,23300,23131
Meigs County,Ohio,23770,23080
Meigs County,Tennessee,11753,12068
Mellette County,South Dakota,2048,2088
Menard County,Illinois,12705,12245
Menard County,Texas,2242,2124
Mendocino County,California,87841,88018
Menifee County,Kentucky,6306,6455
Menominee County,Michigan,24029,23046
Menominee County,Wisconsin,4232,4615
Merced County,California,255793,272673
Mercer County,Illinois,16434,15618
Mercer County,Kentucky,21331,21521
Mercer County,Missouri,3785,3678
Mercer County,New Jersey,366513,374733
Mercer County,North Dakota,8424,8465
Mercer County,Ohio,40814,40873
Mercer County,Pennsylvania,116638,111750
Mercer County,West Virginia,62264,59753
Meriwether County,Georgia,21992,21049
Merrick County,Nebraska,7845,7882
Merrimack County,New Hampshire,146445,149216
Mesa County,Colorado,146723,151616
Metcalfe County,Kentucky,10099,10107
Miami County,Indiana,36903,35845
Miami County,Kansas,32787,33461
Miami County,Ohio,102506,105122
Miami-Dade County,Florida,2496435,2751796
Middlesex County,Connecticut,165676,163410
Middlesex County,Massachusetts,1503085,1602947
Middlesex County,New Jersey,809858,842798
Middlesex County,Virginia,10959,10679
Midland County,Michigan,83629,83411
Midland County,Texas,136872,165049
Mifflin County,Pennsylvania,46682,46388
Milam County,Texas,24757,25053
Millard County,Utah,12503,12863
Mille Lacs County,Minnesota,26097,25872
Miller County,Arkansas,43462,43984
Miller County,Georgia,6125,5838
Miller County,Missouri,24748,25228
Mills County,Iowa,15059,15068
Mills County,Texas,4936,4921
Milwaukee County,Wisconsin,947735,952085
Miner County,South Dakota,2389,2228
Mineral County,Colorado,712,766
Mineral County,Montana,4223,4255
Mineral County,Nevada,4772,4457
Mineral County,West Virginia,28212,27222
Mingo County,West Virginia,26839,24127
Minidoka County,Idaho,20069,20729
Minnehaha County,South Dakota,169468,188616
Missaukee County,Michigan,14849,14998
Mississippi County,Arkansas,46480,42159
Mississippi County,Missouri,14358,13586
Missoula County,Montana,109299,117441
Mitchell County,Georgia,23498,22292
Mitchell County,Iowa,10776,10631
Mitchell County,Kansas,6373,6128
Mitchell County,North Carolina,15579,15072
Mitchell County,Texas,9403,8468
Mobile County,Alabama,412992,413955
Modoc County,California,9686,8859
Moffat County,Colorado,13795,13131
Mohave County,Arizona,200186,207200
Moniteau County,Missouri,15607,16063
Monmouth County,New Jersey,630380,626351
Mono County,California,14202,14168
Monona County,Iowa,9243,8740
Monongalia County,West Virginia,96189,105030
Monroe County,Alabama,23068,21327
Monroe County,Arkansas,8149,7085
Monroe County,Florida,73090,77013
Monroe County,Georgia,26424,27113
Monroe County,Illinois,32957,34097
Monroe County,Indiana,137974,146986
Monroe County,Iowa,7970,7845
Monroe County,Kentucky,10963,10659
Monroe County,Michigan,152021,149649
Monroe County,Mississippi,36989,35872
Monroe County,Missouri,8840,8612
Monroe County,New York,744344,747642
Monroe County,Ohio,14642,13946
Monroe County,Pennsylvania,169842,168046
Monroe County,Tennessee,44519,46240
Monroe County,West Virginia,13502,13402
Monroe County,Wisconsin,44673,45625
Montague County,Texas,19719,19539
Montcalm County,Michigan,63342,63550
Monterey County,California,415057,437907
Montezuma County,Colorado,25535,26140
Montgomery County,Alabama,229363,226646
Montgomery County,Arkansas,9487,8919
Montgomery County,Georgia,9123,9031
Montgomery County,Illinois,30104,28790
Montgomery County,Indiana,38124,38525
Montgomery County,Iowa,10740,10137
Montgomery County,Kansas,35471,32556
Montgomery County,Kentucky,26499,27928
Montgomery County,Maryland,971777,1058810
Montgomery County,Mississippi,10925,10173
Montgomery County,Missouri,12236,11438
Montgomery County,New York,50219,49258
Montgomery County,North Carolina,27798,27435
Montgomery County,Ohio,535153,531542
Montgomery County,Pennsylvania,799874,826075
Montgomery County,Tennessee,172331,200182
Montgomery County,Texas,455746,570934
Montgomery County,Virginia,94392,98559
Montmorency County,Michigan,9765,9250
Montour County,Pennsylvania,18267,18272
Montrose County,Colorado,41276,41784
Moody County,South Dakota,6486,6579
Moore County,North Carolina,88247,97264
Moore County,Tennessee,6362,6384
Moore County,Texas,21904,22097
Mora County,New Mexico,4881,4551
Morehouse Parish,Louisiana,27979,25641
Morgan County,Alabama,119490,118818
Morgan County,Colorado,28159,28192
Morgan County,Georgia,17868,18412
Morgan County,Illinois,35547,33798
Morgan County,Indiana,68894,69713
Morgan County,Kentucky,13923,13188
Morgan County,Missouri,20565,20145
Morgan County,Ohio,15054,14709
Morgan County,Tennessee,21987,21636
Morgan County,Utah,9469,11873
Morgan County,West Virginia,17541,17686
Morrill County,Nebraska,5042,4836
Morris County,Kansas,5923,5455
Morris County,New Jersey,492276,499693
Morris County,Texas,12934,12467
Morrison County,Minnesota,33198,33064
Morrow County,Ohio,34827,34994
Morrow County,Oregon,11173,11166
Morton County,Kansas,3233,2740
Morton County,North Dakota,27471,30796
Motley County,Texas,1210,1230
Moultrie County,Illinois,14846,14688
Mountrail County,North Dakota,7673,10265
Mower County,Minnesota,39163,39566
Muhlenberg County,Kentucky,31499,30816
Multnomah County,Oregon,735334,807555
Murray County,Georgia,39628,39782
Murray County,Minnesota,8725,8346
Murray County,Oklahoma,13488,13853
Muscatine County,Iowa,42745,42880
Muscogee County,Georgia,189885,194058
Muskegon County,Michigan,172188,173693
Muskingum County,Ohio,86074,86149
Muskogee County,Oklahoma,70990,69086
Musselshell County,Montana,4538,4639
Nacogdoches County,Texas,64524,65580
Nance County,Nebraska,3735,3607
Nantucket County,Massachusetts,10172,11229
Napa County,California,136484,140973
Nash County,North Carolina,95840,93991
Nassau County,Florida,73314,82721
Nassau County,New York,1339532,1369514
Natchitoches Parish,Louisiana,39566,39021
Natrona County,Wyoming,75450,79547
Navajo County,Arizona,107449,108956
Navarro County,Texas,47735,48701
Nelson County,Kentucky,43437,45640
Nelson County,North Dakota,3126,2937
Nelson County,Virginia,15020,14943
Nemaha County,Kansas,10178,10118
Nemaha County,Nebraska,7248,6949
Neosho County,Kansas,16512,16015
Neshoba County,Mississippi,29676,29369
Ness County,Kansas,3107,2869
Nevada County,Arkansas,8997,8327
Nevada County,California,98764,99814
New Castle County,Delaware,538479,559793
New Hanover County,North Carolina,202667,227198
New Haven County,Connecticut,862477,860435
New Kent County,Virginia,18429,21682
New London County,Connecticut,274055,269033
New Madrid County,Missouri,18956,17582
New York County,New York,1585873,1664727
Newaygo County,Michigan,48460,48242
Newberry County,South Carolina,37508,38488
Newport County,Rhode Island,82888,83460
Newport News city,Virginia,180719,179388
Newton County,Arkansas,8330,7828
Newton County,Georgia,99958,108078
Newton County,Indiana,14244,14130
Newton County,Mississippi,21720,21185
Newton County,Missouri,58114,58290
Newton County,Texas,14445,13952
Nez Perce County,Idaho,39265,40385
Niagara County,New York,216469,211328
Nicholas County,Kentucky,7135,7130
Nicholas County,West Virginia,26233,25043
Nicollet County,Minnesota,32727,33966
Niobrara County,Wyoming,2484,2397
Noble County,Indiana,47536,47452
Noble County,Ohio,14645,14406
Noble County,Oklahoma,11561,11277
Nobles County,Minnesota,21378,21944
Nodaway County,Missouri,23370,22472
Nolan County,Texas,15216,14770
Nome Census Area,Alaska,9492,9921
Norfolk city,Virginia,242803,244703
Norfolk County,Massachusetts,670850,700322
Norman County,Minnesota,6852,6597
North Slope Borough,Alaska,9430,9782
Northampton County,North Carolina,22099,19862
Northampton County,Pennsylvania,297735,303405
Northampton County,Virginia,12389,11846
Northumberland County,Pennsylvania,94528,92029
Northumberland County,Virginia,12330,12275
Northwest Arctic Borough,Alaska,7523,7684
Norton city,Virginia,3958,3936
Norton County,Kansas,5671,5441
Nottoway County,Virginia,15853,15434
Nowata County,Oklahoma,10536,10306
Noxubee County,Mississippi,11545,10742
Nuckolls County,Nebraska,4500,4275
Nueces County,Texas,340223,361221
Nye County,Nevada,43946,44202
Oakland County,Michigan,1202362,1250836
Obion County,Tennessee,31807,30385
O'Brien County,Iowa,14398,13801
Ocean County,New Jersey,576567,597943
Oceana County,Michigan,26570,26442
Ochiltree County,Texas,10223,10073
Oconee County,Georgia,32808,38028
Oconee County,South Carolina,74273,77270
Oconto County,Wisconsin,37660,37553
Ogemaw County,Michigan,21699,20981
Oglala Lakota County,South Dakota,13586,14354
Ogle County,Illinois,53497,51063
Oglethorpe County,Georgia,14899,14877
Ohio County,Indiana,6128,5828
Ohio County,Kentucky,23842,24182
Ohio County,West Virginia,44443,42035
Okaloosa County,Florida,180822,202970
Okanogan County,Washington,41120,41742
Okeechobee County,Florida,39996,41605
Okfuskee County,Oklahoma,12191,12140
Oklahoma County,Oklahoma,718633,787958
Okmulgee County,Oklahoma,40069,38930
Oktibbeha County,Mississippi,47671,49799
Oldham County,Kentucky,60316,66415
Oldham County,Texas,2052,2114
Oliver County,North Dakota,1846,1940
Olmsted County,Minnesota,144248,154930
Oneida County,Idaho,4286,4427
Oneida County,New York,234878,231332
Oneida County,Wisconsin,35998,35254
Onondaga County,New York,467026,465398
Onslow County,North Carolina,177772,193893
Ontario County,New York,107931,109899
Ontonagon County,Michigan,6780,5881
Orange County,California,3010232,3190400
Orange County,Florida,1145956,1348975
Orange County,Indiana,19840,19426
Orange County,New York,372813,382226
Orange County,North Carolina,133801,144946
Orange County,Texas,81837,85047
Orange County,Vermont,28936,28974
Orange County,Virginia,33481,36073
Orangeburg County,South Carolina,92501,87476
Oregon County,Missouri,10881,10558
Orleans County,New York,42883,40983
Orleans County,Vermont,27231,26841
Orleans Parish,Louisiana,343829,393292
Osage County,Kansas,16295,15772
Osage County,Missouri,13878,13662
Osage County,Oklahoma,47472,47233
Osborne County,Kansas,3858,3610
Osceola County,Florida,268685,352180
Osceola County,Iowa,6462,6045
Osceola County,Michigan,23528,23260
Oscoda County,Michigan,8640,8287
Oswego County,New York,122109,118478
Otero County,Colorado,18831,18326
Otero County,New Mexico,63797,65817
Otoe County,Nebraska,15740,16027
Otsego County,Michigan,24164,24538
Otsego County,New York,62259,60094
Ottawa County,Kansas,6091,5863
Ottawa County,Michigan,263801,286383
Ottawa County,Ohio,41428,40657
Ottawa County,Oklahoma,31848,31312
Otter Tail County,Minnesota,57303,58345
Ouachita County,Arkansas,26120,23868
Ouachita Parish,Louisiana,153720,155874
Ouray County,Colorado,4436,4794
Outagamie County,Wisconsin,176695,186059
Overton County,Tennessee,22083,22012
Owen County,Indiana,21575,20839
Owen County,Kentucky,10841,10765
Owsley County,Kentucky,4755,4435
Owyhee County,Idaho,11526,11628
Oxford County,Maine,57833,57439
Ozark County,Missouri,9723,9186
Ozaukee County,Wisconsin,86395,88429
Pacific County,Washington,20920,21626
Page County,Iowa,15932,15224
Page County,Virginia,24042,23731
Palm Beach County,Florida,1320134,1471150
Palo Alto County,Iowa,9421,9092
Palo Pinto County,Texas,28111,28570
Pamlico County,North Carolina,13144,12689
Panola County,Mississippi,34707,33994
Panola County,Texas,23796,23243
Park County,Colorado,16206,17905
Park County,Montana,15636,16353
Park County,Wyoming,28205,29568
Parke County,Indiana,17339,16886
Parker County,Texas,116927,133463
Parmer County,Texas,10269,9842
Pasco County,Florida,464697,525643
Pasquotank County,North Carolina,40661,39743
Passaic County,New Jersey,501226,512607
Patrick County,Virginia,18490,17665
Paulding County,Georgia,142324,159445
Paulding County,Ohio,19614,18845
Pawnee County,Kansas,6973,6680
Pawnee County,Nebraska,2773,2641
Pawnee County,Oklahoma,16577,16472
Payette County,Idaho,22623,23215
Payne County,Oklahoma,77350,81575
Peach County,Georgia,27695,27099
Pearl River County,Mississippi,55834,55270
Pecos County,Texas,15507,15634
Pembina County,North Dakota,7413,6972
Pemiscot County,Missouri,18296,16826
Pend Oreille County,Washington,13001,13354
Pender County,North Carolina,52217,60958
Pendleton County,Kentucky,14877,14573
Pendleton County,West Virginia,7695,6996
Pennington County,Minnesota,13930,14238
Pennington County,South Dakota,100948,110141
Penobscot County,Maine,153923,151957
Peoria County,Illinois,186494,183011
Pepin County,Wisconsin,7469,7254
Perkins County,Nebraska,2970,2903
Perkins County,South Dakota,2982,2974
Perquimans County,North Carolina,13453,13474
Perry County,Alabama,10591,9339
Perry County,Arkansas,10445,10348
Perry County,Illinois,22350,21285
Perry County,Indiana,19338,19081
Perry County,Kentucky,28712,26553
Perry County,Mississippi,12250,12032
Perry County,Missouri,18971,19225
Perry County,Ohio,36058,36024
Perry County,Pennsylvania,45969,46127
Perry County,Tennessee,7915,7975
Pershing County,Nevada,6753,6508
Person County,North Carolina,39464,39370
Petersburg Borough,Alaska,3815,3281
Petersburg city,Virginia,32420,31750
Petroleum County,Montana,494,523
Pettis County,Missouri,42201,42558
Phelps County,Missouri,45156,44744
Phelps County,Nebraska,9188,9060
Philadelphia County,Pennsylvania,1526006,1580863
Phillips County,Arkansas,21757,18572
Phillips County,Colorado,4442,4292
Phillips County,Kansas,5642,5370
Phillips County,Montana,4253,4119
Piatt County,Illinois,16729,16445
Pickaway County,Ohio,55698,57830
Pickens County,Alabama,19746,20176
Pickens County,Georgia,29431,31588
Pickens County,South Carolina,119224,123479
Pickett County,Tennessee,5077,5073
Pierce County,Georgia,18758,19307
Pierce County,Nebraska,7266,7138
Pierce County,North Dakota,4357,4099
Pierce County,Washington,795225,876764
Pierce County,Wisconsin,41019,41901
Pike County,Alabama,32899,33267
Pike County,Arkansas,11291,10726
Pike County,Georgia,17869,18217
Pike County,Illinois,16430,15821
Pike County,Indiana,12845,12365
Pike County,Kentucky,65024,58883
Pike County,Mississippi,40404,39468
Pike County,Missouri,18516,18567
Pike County,Ohio,28709,28270
Pike County,Pennsylvania,57369,55691
Pima County,Arizona,980263,1022769
Pinal County,Arizona,375770,430237
Pine County,Minnesota,29750,29203
Pinellas County,Florida,916542,970637
Pipestone County,Minnesota,9596,9087
Piscataquis County,Maine,17535,16773
Pitkin County,Colorado,17148,17890
Pitt County,North Carolina,168148,179042
Pittsburg County,Oklahoma,45837,44184
Pittsylvania County,Virginia,63506,61258
Piute County,Utah,1556,1420
Placer County,California,348432,386166
Plaquemines Parish,Louisiana,23042,23348
Platte County,Missouri,89322,101187
Platte County,Nebraska,32237,33175
Platte County,Wyoming,8667,8562
Pleasants County,West Virginia,7605,7512
Plumas County,California,20007,18742
Plymouth County,Iowa,24986,25220
Plymouth County,Massachusetts,494919,515142
Pocahontas County,Iowa,7310,6846
Pocahontas County,West Virginia,8719,8456
Poinsett County,Arkansas,24583,24154
Pointe Coupee Parish,Louisiana,22802,22268
Polk County,Arkansas,20662,20118
Polk County,Florida,602095,686483
Polk County,Georgia,41475,42085
Polk County,Iowa,430640,481830
Polk County,Minnesota,31600,31619
Polk County,Missouri,31137,31794
Polk County,Nebraska,5406,5328
Polk County,North Carolina,20510,20558
Polk County,Oregon,75403,83696
Polk County,Tennessee,16825,16757
Polk County,Texas,45413,49162
Polk County,Wisconsin,44205,43450
Pondera County,Montana,6153,5960
Pontotoc County,Mississippi,29957,31640
Pontotoc County,Oklahoma,37492,38224
Pope County,Arkansas,61754,63835
Pope County,Illinois,4470,4325
Pope County,Minnesota,10995,10970
Poquoson city,Virginia,12150,12053
Portage County,Ohio,161419,162277
Portage County,Wisconsin,70019,70474
Porter County,Indiana,164343,168404
Portsmouth city,Virginia,95535,94572
Posey County,Indiana,25910,25595
Pottawatomie County,Kansas,21604,23908
Pottawatomie County,Oklahoma,69442,72226
Pottawattamie County,Iowa,93158,93386
Potter County,Pennsylvania,17457,16802
Potter County,South Dakota,2329,2231
Potter County,Texas,121073,120458
Powder River County,Montana,1743,1752
Powell County,Kentucky,12613,12374
Powell County,Montana,7027,6795
Power County,Idaho,7817,7600
Poweshiek County,Iowa,18914,18314
Powhatan County,Virginia,28046,28601
Prairie County,Arkansas,8715,8248
Prairie County,Montana,1179,1109
Pratt County,Kansas,9656,9547
Preble County,Ohio,42270,41120
Prentiss County,Mississippi,25276,25261
Presidio County,Texas,7818,7156
Presque Isle County,Michigan,13376,12791
Preston County,West Virginia,33520,33679
Price County,Wisconsin,14159,13442
Prince Edward County,Virginia,23368,22703
Prince George County,Virginia,35725,37809
Prince George's County,Maryland,863420,912756
Prince of Wales-Hyder Census Area,Alaska,5559,6443
Prince William County,Virginia,402002,463023
Providence County,Rhode Island,626667,637357
Prowers County,Colorado,12551,12070
Pueblo County,Colorado,159063,166475
Pulaski County,Arkansas,382748,393956
Pulaski County,Georgia,12010,11201
Pulaski County,Illinois,6161,5509
Pulaski County,Indiana,13402,12534
Pulaski County,Kentucky,63063,64449
Pulaski County,Missouri,52274,52059
Pulaski County,Virginia,34872,34184
Pushmataha County,Oklahoma,11572,11173
Putnam County,Florida,74364,73464
Putnam County,Georgia,21218,21730
Putnam County,Illinois,6006,5727
Putnam County,Indiana,37963,37702
Putnam County,Missouri,4979,4811
Putnam County,New York,99710,99323
Putnam County,Ohio,34499,33878
Putnam County,Tennessee,72321,77674
Putnam County,West Virginia,55486,56792
Quay County,New Mexico,9041,8306
Queen Anne's County,Maryland,47798,49770
Queens County,New York,2230722,2358582
Quitman County,Georgia,2513,2358
Quitman County,Mississippi,8223,7269
Rabun County,Georgia,16276,16602
Racine County,Wisconsin,195408,196071
Radford city,Virginia,16408,17658
Rains County,Texas,10914,11762
Raleigh County,West Virginia,78859,75022
Ralls County,Missouri,10167,10224
Ramsey County,Minnesota,508640,547974
Ramsey County,North Dakota,11451,11519
Randall County,Texas,120725,134442
Randolph County,Alabama,22913,22670
Randolph County,Arkansas,17969,17557
Randolph County,Georgia,7719,7075
Randolph County,Illinois,33476,32423
Randolph County,Indiana,26171,24922
Randolph County,Missouri,25414,24945
Randolph County,North Carolina,141752,143282
Randolph County,West Virginia,29405,28785
Rankin County,Mississippi,141617,152080
Ransom County,North Dakota,5457,5297
Rapides Parish,Louisiana,131613,131648
Rappahannock County,Virginia,7373,7321
Ravalli County,Montana,40212,42563
Rawlins County,Kansas,2519,2497
Ray County,Missouri,23494,22855
Reagan County,Texas,3367,3710
Real County,Texas,3309,3429
Red Lake County,Minnesota,4089,4030
Red River County,Texas,12860,12229
Red River Parish,Louisiana,9091,8536
Red Willow County,Nebraska,11055,10728
Redwood County,Minnesota,16059,15272
